front,rooms,lounges,bathrooms,streetWidth,stairs,propertyAge,driverRoom,tent,patio,kitchen,outdoorRoom,garage,duplex,space,apartments,maidRoom,elevator,furnihsed,pool,basement,neighbourhood,location,price,square price
S,5,2,5,20,Yes,0,No,Yes,Yes,Yes,No,Yes,No,300,2,No,No,No,No,No,مطار الملك خالد الدولي,East of Riyadh,1600000.0,5333.333333333333
E,7,3,5,15,No,9,No,No,Yes,Yes,No,No,No,250,1,No,No,No,No,No,الدار البيضاء,South of Riyadh,1100000.0,4400.0
S,5,3,3,15,Yes,0,Yes,No,Yes,Yes,Yes,Yes,No,312,1,Yes,Yes,No,No,No,الرمال,East of Riyadh,1800000.0,5769.2307692307695
N,6,2,4,20,Yes,0,No,Yes,Yes,Yes,Yes,Yes,No,375,2,Yes,No,No,No,No,طويق,West of Riyadh,1550000.0,4133.333333333333
E,4,2,5,20,Yes,6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,200,0,Yes,No,No,No,No,الملقا,North of Riyadh,2250000.0,11250.0
NE,4,3,4,20,No,4,Yes,No,Yes,Yes,Yes,Yes,No,510,5,Yes,No,No,No,No,النهضة,East of Riyadh,3000000.0,5882.35294117647
W,4,4,4,20,Yes,0,Yes,No,No,Yes,Yes,Yes,No,276,1,Yes,No,No,No,No,العارض,North of Riyadh,2350000.0,8514.492753623188
S,4,4,4,20,Yes,0,Yes,Yes,Yes,Yes,Yes,Yes,No,440,2,Yes,Yes,Yes,Yes,No,العارض,North of Riyadh,3700000.0,8409.09090909091
W,5,3,5,15,Yes,0,Yes,Yes,Yes,Yes,Yes,Yes,No,300,1,Yes,No,Yes,Yes,No,النرجس,North of Riyadh,2550000.0,8500.0
E,5,3,5,20,Yes,0,Yes,Yes,Yes,Yes,Yes,Yes,No,234,1,Yes,Yes,Yes,Yes,No,المونسية,East of Riyadh,2000000.0,8547.008547008547
S,4,3,4,15,Yes,0,Yes,Yes,No,Yes,Yes,Yes,No,312,1,Yes,Yes,No,No,No,الرمال,East of Riyadh,1800000.0,5769.2307692307695
S,4,2,5,20,Yes,0,No,Yes,Yes,Yes,Yes,Yes,No,312,2,Yes,No,No,No,No,الرمال,East of Riyadh,1850000.0,5929.48717948718
S,6,3,5,15,Yes,0,Yes,No,Yes,Yes,Yes,Yes,No,360,1,Yes,Yes,No,No,No,العارض,North of Riyadh,2950000.0,8194.444444444445
E,4,3,5,15,Yes,0,Yes,No,Yes,Yes,No,Yes,No,300,0,Yes,Yes,No,Yes,No,الياسمين,North of Riyadh,3200000.0,10666.666666666666
N,4,3,4,15,Yes,10,Yes,Yes,Yes,Yes,Yes,Yes,No,375,0,Yes,No,No,No,No,العزيزية,South of Riyadh,900000.0,2400.0
SW,5,3,4,12,Yes,0,Yes,No,Yes,Yes,No,Yes,No,390,0,Yes,No,No,No,No,الملك فهد,North of Riyadh,3600000.0,9230.76923076923
S,4,2,5,20,Yes,0,No,Yes,Yes,Yes,Yes,Yes,Yes,200,0,Yes,Yes,No,No,No,طويق,West of Riyadh,1030000.0,5150.0
N,6,3,5,15,Yes,0,No,Yes,Yes,Yes,Yes,Yes,Yes,300,0,Yes,No,No,No,No,عكاظ,South of Riyadh,1000000.0,3333.333333333333
N,4,4,4,15,Yes,0,Yes,No,Yes,Yes,No,Yes,Yes,300,0,Yes,Yes,No,Yes,No,النرجس,North of Riyadh,2750000.0,9166.666666666666
N,5,3,5,15,Yes,0,Yes,Yes,Yes,Yes,Yes,Yes,No,416,1,Yes,Yes,Yes,Yes,No,النرجس,North of Riyadh,3000000.0,7211.538461538462
N,4,2,5,14,Yes,0,No,No,No,Yes,Yes,Yes,No,375,1,Yes,No,No,No,No,النهضة,East of Riyadh,2050000.0,5466.666666666667
E,6,3,5,20,Yes,0,No,Yes,Yes,Yes,Yes,Yes,No,308,0,Yes,Yes,No,No,No,النرجس,North of Riyadh,3500000.0,11363.636363636364
S,5,2,5,25,Yes,6,No,Yes,Yes,Yes,Yes,Yes,No,381,2,Yes,No,No,No,No,الرمال,East of Riyadh,1650000.0,4330.708661417323
NE,5,3,4,20,Yes,23,Yes,Yes,Yes,Yes,Yes,Yes,No,1100,0,Yes,No,No,Yes,No,الروضة,East of Riyadh,4200000.0,3818.181818181818
E,5,2,5,15,Yes,0,No,No,No,Yes,Yes,Yes,No,288,1,Yes,No,No,No,No,المونسية,East of Riyadh,1950000.0,6770.833333333333
S,4,2,5,15,No,6,Yes,No,Yes,Yes,Yes,Yes,No,400,0,Yes,No,No,No,No,الملقا,North of Riyadh,3000000.0,7500.0
